0,1,2,3,4,5,6,7,8,9,10
frozen vegetables,dessert,,,,,,,,,
rolls/buns,red/blush wine,,,,,,,,,
beverages,rolls/buns,,,,,,,,,
processed cheese,specialty bar,,,,,,,,,
photo/film,whole milk,,,,,,,,,
newspapers,waffles,salty snack,,,,,,,,
pork,pastry,candy,,,,,,,,
sausage,curd,yogurt,,,,,,,,
ham,frozen meals,,,,,,,,,
other vegetables,newspapers,rolls/buns,,,,,,,,
whole milk,bottled beer,,,,,,,,,
soda,soda,,,,,,,,,
pip fruit,shopping bags,yogurt,,,,,,,,
misc. beverages,yogurt,oil,,,,,,,,
pastry,napkins,shopping bags,margarine,,,,,,,
sausage,canned beer,,,,,,,,,
kitchen towels,shopping bags,,,,,,,,,
tropical fruit,snack products,,,,,,,,,
whole milk,whole milk,,,,,,,,,
pork,rolls/buns,roll products ,,,,,,,,
pip fruit,soda,,,,,,,,,
citrus fruit,other vegetables,dessert,bottled beer,,,,,,,
pip fruit,roll products ,beverages,whole milk,canned fish,sugar,,,,,
meat,other vegetables,zwieback,,,,,,,,
butter,newspapers,,,,,,,,,
canned beer,domestic eggs,,,,,,,,,
citrus fruit,flour,,,,,,,,,
other vegetables,UHT-milk,,,,,,,,,
whole milk,sausage,spread cheese,hygiene articles,,,,,,,
citrus fruit,long life bakery product,,,,,,,,,
whole milk,yogurt,,,,,,,,,
frankfurter,margarine,frozen vegetables,,,,,,,,
frozen meals,whole milk,,,,,,,,,
liquor,dessert,waffles,,,,,,,,
bottled water,specialty bar,,,,,,,,,
newspapers,domestic eggs,,,,,,,,,
pastry,specialty bar,flour,,,,,,,,
tropical fruit,rum,flour,,,,,,,,
bottled water,frankfurter,dessert,root vegetables,,,,,,,
margarine,whole milk,,,,,,,,,
canned beer,UHT-milk,,,,,,,,,
dessert,pastry,,,,,,,,,
sugar,popcorn,baking powder,,,,,,,,
sausage,cream cheese ,,,,,,,,,
tidbits,dessert,cat food,,,,,,,,
specialty bar,bottled beer,,,,,,,,,
root vegetables,canned beer,,,,,,,,,
canned beer,brown bread,,,,,,,,,
ice cream,chewing gum,,,,,,,,,
canned beer,canned beer,dessert,packaged fruit/vegetables,flour,meat spreads,,,,,
chocolate,herbs,,,,,,,,,
other vegetables,other vegetables,newspapers,pip fruit,,,,,,,
sausage,other vegetables,,,,,,,,,
yogurt,yogurt,,,,,,,,,
whole milk,flour,,,,,,,,,
pastry,rolls/buns,,,,,,,,,
whole milk,coffee,brandy,,,,,,,,
chicken,yogurt,newspapers,shopping bags,rolls/buns,domestic eggs,,,,,
pet care,pork,,,,,,,,,
bottled water,pork,salty snack,,,,,,,,
bottled water,whole milk,domestic eggs,domestic eggs,,,,,,,
citrus fruit,cake bar,,,,,,,,,
bottled water,domestic eggs,,,,,,,,,
root vegetables,popcorn,long life bakery product,domestic eggs,,,,,,,
sausage,sugar,yogurt,,,,,,,,
tropical fruit,cocoa drinks,,,,,,,,,
newspapers,candy,,,,,,,,,
tropical fruit,UHT-milk,candy,,,,,,,,
pork,cream cheese ,,,,,,,,,
whole milk,whole milk,pastry,,,,,,,,
rolls/buns,soda,,,,,,,,,
pastry,sliced cheese,fruit/vegetable juice,,,,,,,,
frankfurter,whole milk,,,,,,,,,
pork,frozen meals,,,,,,,,,
sausage,frankfurter,herbs,rice,,,,,,,
newspapers,whole milk,,,,,,,,,
coffee,brown bread,whole milk,sweet spreads,,,,,,,
sausage,root vegetables,,,,,,,,,
other vegetables,beverages,,,,,,,,,
pip fruit,root vegetables,,,,,,,,,
pip fruit,yogurt,,,,,,,,,
ham,specialty chocolate,,,,,,,,,
beef,soda,,,,,,,,,
pork,pork,rolls/buns,sparkling wine,,,,,,,
sausage,whole milk,,,,,,,,,
rolls/buns,domestic eggs,ice cream,pot plants,,,,,,,
brown bread,margarine,chocolate,fruit/vegetable juice,,,,,,,
sausage,other vegetables,,,,,,,,,
cream cheese ,salt,,,,,,,,,
frankfurter,domestic eggs,,,,,,,,,
hamburger meat,yogurt,,,,,,,,,
packaged fruit/vegetables,berries,,,,,,,,,
yogurt,root vegetables,,,,,,,,,
newspapers,whole milk,chewing gum,,,,,,,,
root vegetables,white wine,,,,,,,,,
sausage,butter,,,,,,,,,
butter,newspapers,,,,,,,,,
yogurt,canned beer,,,,,,,,,
whipped/sour cream,hard cheese,,,,,,,,,
soda,bottled water,whipped/sour cream,,,,,,,,
yogurt,frozen meals,,,,,,,,,
brown bread,brown bread,,,,,,,,,
brown bread,curd,,,,,,,,,
pastry,frozen fish,,,,,,,,,
pip fruit,tropical fruit,,,,,,,,,
onions,pastry,soda,,,,,,,,
bottled beer,salty snack,napkins,,,,,,,,
other vegetables,margarine,,,,,,,,,
ham,hamburger meat,whole milk,margarine,,,,,,,
bottled beer,whole milk,tropical fruit,whole milk,house keeping products,,,,,,
root vegetables,yogurt,,,,,,,,,
citrus fruit,beverages,pasta,,,,,,,,
long life bakery product,butter,,,,,,,,,
hamburger meat,baking powder,dessert,,,,,,,,
whole milk,flour,,,,,,,,,
other vegetables,whole milk,Instant food products,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
soda,other vegetables,,,,,,,,,
soda,soda,canned fruit,processed cheese,soda,shopping bags,,,,,
beverages,whole milk,,,,,,,,,
flour,baking powder,,,,,,,,,
ice cream,root vegetables,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
soda,napkins,specialty chocolate,,,,,,,,
butter milk,specialty fat,,,,,,,,,
sausage,bottled beer,hygiene articles,,,,,,,,
whole milk,bottled water,,,,,,,,,
root vegetables,skin care,,,,,,,,,
canned beer,sugar,rum,,,,,,,,
soda,other vegetables,white bread,,,,,,,,
pip fruit,soda,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
berries,whole milk,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
whole milk,roll products ,rice,,,,,,,,
rolls/buns,light bulbs,long life bakery product,,,,,,,,
frankfurter,sugar,,,,,,,,,
beverages,mustard,yogurt,,,,,,,,
coffee,cat food,,,,,,,,,
tropical fruit,citrus fruit,newspapers,,,,,,,,
canned beer,napkins,,,,,,,,,
salty snack,bottled beer,,,,,,,,,
rolls/buns,cream cheese ,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
sausage,soda,,,,,,,,,
fruit/vegetable juice,root vegetables,,,,,,,,,
whole milk,sauces,,,,,,,,,
bottled beer,citrus fruit,shopping bags,,,,,,,,
chicken,white bread,,,,,,,,,
other vegetables,berries,candy,sliced cheese,,,,,,,
napkins,mustard,,,,,,,,,
detergent,rolls/buns,,,,,,,,,
jam,house keeping products,,,,,,,,,
pastry,white bread,,,,,,,,,
rolls/buns,tropical fruit,coffee,chocolate,,,,,,,
chicken,domestic eggs,,,,,,,,,
pip fruit,meat,frozen vegetables,bottled water,,,,,,,
root vegetables,whole milk,,,,,,,,,
whole milk,canned beer,bottled water,bottled beer,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
pork,canned beer,,,,,,,,,
newspapers,other vegetables,,,,,,,,,
rolls/buns,pip fruit,,,,,,,,,
citrus fruit,bottled beer,ice cream,,,,,,,,
rolls/buns,pastry,,,,,,,,,
whipped/sour cream,pastry,napkins,,,,,,,,
pork,brown bread,,,,,,,,,
fruit/vegetable juice,candy,fruit/vegetable juice,,,,,,,,
turkey,salt,,,,,,,,,
pastry,soda,pastry,,,,,,,,
coffee,bottled water,,,,,,,,,
female sanitary products,whole milk,hygiene articles,,,,,,,,
whole milk,spread cheese,bottled water,onions,,,,,,,
sausage,whole milk,misc. beverages,specialty bar,soda,,,,,,
frankfurter,whole milk,,,,,,,,,
other vegetables,salty snack,pickled vegetables,,,,,,,,
root vegetables,misc. beverages,,,,,,,,,
tropical fruit,fruit/vegetable juice,,,,,,,,,
whole milk,soda,,,,,,,,,
UHT-milk,other vegetables,,,,,,,,,
beef,condensed milk,,,,,,,,,
pastry,spread cheese,other vegetables,,,,,,,,
sausage,rum,,,,,,,,,
butter milk,root vegetables,,,,,,,,,
frozen meals,other vegetables,,,,,,,,,
ham,yogurt,,,,,,,,,
soda,liquor,,,,,,,,,
shopping bags,frozen vegetables,,,,,,,,,
tropical fruit,dishes,,,,,,,,,
other vegetables,bottled water,,,,,,,,,
rolls/buns,yogurt,,,,,,,,,
misc. beverages,pork,domestic eggs,sparkling wine,whipped/sour cream,semi-finished bread,,,,,
coffee,butter milk,,,,,,,,,
tropical fruit,flour,,,,,,,,,
cat food,fruit/vegetable juice,,,,,,,,,
rolls/buns,salty snack,bottled water,shopping bags,,,,,,,
white bread,baking powder,,,,,,,,,
sausage,other vegetables,,,,,,,,,
whole milk,canned vegetables,,,,,,,,,
curd,cat food,,,,,,,,,
root vegetables,bottled beer,,,,,,,,,
fruit/vegetable juice,tropical fruit,,,,,,,,,
cat food,whipped/sour cream,,,,,,,,,
whole milk,spread cheese,,,,,,,,,
canned beer,syrup,brown bread,rice,,,,,,,
beef,tea,,,,,,,,,
pork,yogurt,,,,,,,,,
detergent,newspapers,,,,,,,,,
red/blush wine,dessert,curd,rolls/buns,,,,,,,
rolls/buns,domestic eggs,,,,,,,,,
canned fish,butter,pot plants,,,,,,,,
yogurt,curd,rolls/buns,whipped/sour cream,,,,,,,
meat,hygiene articles,hard cheese,cat food,,,,,,,
soda,domestic eggs,artif. sweetener,,,,,,,,
soda,detergent,,,,,,,,,
frankfurter,beef,,,,,,,,,
frankfurter,cream cheese ,yogurt,baking powder,,,,,,,
butter,whipped/sour cream,rolls/buns,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
cake bar,long life bakery product,shopping bags,,,,,,,,
whole milk,domestic eggs,,,,,,,,,
cat food,newspapers,fruit/vegetable juice,,,,,,,,
pork,whole milk,popcorn,,,,,,,,
rolls/buns,soda,chocolate,,,,,,,,
dessert,rolls/buns,,,,,,,,,
rolls/buns,pork,canned beer,root vegetables,canned beer,shopping bags,oil,soda,,,
onions,specialty vegetables,,,,,,,,,
tropical fruit,pip fruit,,,,,,,,,
frankfurter,shopping bags,rolls/buns,,,,,,,,
turkey,root vegetables,,,,,,,,,
rolls/buns,frankfurter,soda,canned fish,,,,,,,
newspapers,roll products ,,,,,,,,,
beverages,newspapers,newspapers,pastry,,,,,,,
citrus fruit,misc. beverages,,,,,,,,,
zwieback,yogurt,,,,,,,,,
misc. beverages,grapes,instant coffee,,,,,,,,
sausage,liver loaf,dish cleaner,white bread,canned beer,dishes,white wine,brown bread,,,
canned beer,sliced cheese,cake bar,,,,,,,,
frankfurter,other vegetables,bottled beer,,,,,,,,
rolls/buns,grapes,domestic eggs,,,,,,,,
chicken,curd,,,,,,,,,
pet care,soda,,,,,,,,,
yogurt,yogurt,other vegetables,sliced cheese,,,,,,,
butter,yogurt,,,,,,,,,
frankfurter,ice cream,,,,,,,,,
tropical fruit,bottled beer,,,,,,,,,
pastry,bottled water,,,,,,,,,
shopping bags,hard cheese,yogurt,,,,,,,,
pork,bottled water,,,,,,,,,
canned beer,cereals,,,,,,,,,
pip fruit,whole milk,,,,,,,,,
whole milk,onions,,,,,,,,,
newspapers,brown bread,,,,,,,,,
specialty chocolate,baking powder,soda,,,,,,,,
root vegetables,frozen vegetables,,,,,,,,,
beef,specialty bar,rolls/buns,,,,,,,,
detergent,pet care,,,,,,,,,
white bread,whipped/sour cream,,,,,,,,,
margarine,rolls/buns,,,,,,,,,
tropical fruit,spread cheese,onions,mayonnaise,,,,,,,
onions,cream cheese ,baking powder,,,,,,,,
citrus fruit,waffles,,,,,,,,,
newspapers,tropical fruit,,,,,,,,,
fruit/vegetable juice,pasta,,,,,,,,,
pastry,chewing gum,,,,,,,,,
butter,citrus fruit,,,,,,,,,
rolls/buns,yogurt,,,,,,,,,
whole milk,candy,,,,,,,,,
ham,waffles,seasonal products,,,,,,,,
tropical fruit,soda,,,,,,,,,
newspapers,roll products ,,,,,,,,,
beef,sugar,root vegetables,frozen vegetables,,,,,,,
butter,berries,cereals,,,,,,,,
curd,other vegetables,,,,,,,,,
pastry,soda,,,,,,,,,
other vegetables,cream cheese ,,,,,,,,,
waffles,rolls/buns,,,,,,,,,
chicken,bottled beer,,,,,,,,,
root vegetables,berries,brandy,,,,,,,,
beef,whole milk,frozen vegetables,soda,,,,,,,
liver loaf,specialty chocolate,,,,,,,,,
brown bread,chocolate,,,,,,,,,
softener,margarine,hygiene articles,,,,,,,,
whole milk,shopping bags,,,,,,,,,
soda,napkins,,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
other vegetables,photo/film,,,,,,,,,
sausage,yogurt,pastry,,,,,,,,
chicken,pip fruit,,,,,,,,,
chicken,bottled beer,,,,,,,,,
citrus fruit,candy,,,,,,,,,
liquor (appetizer),liquor,,,,,,,,,
fruit/vegetable juice,canned fish,,,,,,,,,
soda,frozen fish,,,,,,,,,
tropical fruit,sausage,dog food,sweet spreads,,,,,,,
onions,root vegetables,domestic eggs,chocolate,,,,,,,
whole milk,popcorn,,,,,,,,,
pip fruit,bottled water,,,,,,,,,
newspapers,butter,,,,,,,,,
beef,domestic eggs,,,,,,,,,
meat,domestic eggs,,,,,,,,,
bottled beer,other vegetables,,,,,,,,,
mayonnaise,domestic eggs,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
whole milk,cream cheese ,soda,,,,,,,,
hamburger meat,chicken,butter,rolls/buns,,,,,,,
baking powder,beef,,,,,,,,,
rolls/buns,tropical fruit,soda,dessert,,,,,,,
frankfurter,citrus fruit,bottled water,fruit/vegetable juice,,,,,,,
other vegetables,beverages,ice cream,shopping bags,,,,,,,
yogurt,dog food,semi-finished bread,napkins,,,,,,,
soda,root vegetables,,,,,,,,,
soda,other vegetables,other vegetables,soda,,,,,,,
canned beer,yogurt,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
sausage,pip fruit,chocolate,,,,,,,,
baking powder,root vegetables,,,,,,,,,
waffles,yogurt,,,,,,,,,
soda,bottled beer,chicken,yogurt,,,,,,,
chocolate,mustard,white bread,,,,,,,,
shopping bags,whole milk,cling film/bags,bottled beer,newspapers,,,,,,
soda,yogurt,,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
beef,pastry,,,,,,,,,
bottled water,tropical fruit,,,,,,,,,
bottled water,bottled beer,canned fish,,,,,,,,
sugar,whole milk,,,,,,,,,
other vegetables,canned beer,,,,,,,,,
cake bar,butter milk,,,,,,,,,
soda,chocolate,,,,,,,,,
frankfurter,rolls/buns,coffee,white wine,,,,,,,
whole milk,tropical fruit,cat food,,,,,,,,
citrus fruit,beef,tropical fruit,curd,,,,,,,
frankfurter,soda,napkins,,,,,,,,
meat,onions,whole milk,whole milk,,,,,,,
frankfurter,whole milk,grapes,butter,semi-finished bread,,,,,,
sweet spreads,frozen fish,,,,,,,,,
instant coffee,butter,,,,,,,,,
frankfurter,specialty cheese,soft cheese,,,,,,,,
coffee,root vegetables,,,,,,,,,
beef,white bread,,,,,,,,,
whole milk,white bread,,,,,,,,,
ham,chewing gum,frozen vegetables,,,,,,,,
beef,fruit/vegetable juice,,,,,,,,,
hamburger meat,soft cheese,pickled vegetables,,,,,,,,
sausage,soda,,,,,,,,,
popcorn,dishes,whole milk,,,,,,,,
pork,whole milk,flower (seeds),,,,,,,,
seasonal products,flower (seeds),,,,,,,,,
hamburger meat,soda,,,,,,,,,
oil,curd,,,,,,,,,
brown bread,butter milk,oil,frozen meals,,,,,,,
ham,specialty chocolate,soft cheese,,,,,,,,
brown bread,detergent,,,,,,,,,
canned beer,soda,,,,,,,,,
kitchen utensil,bottled water,rolls/buns,pasta,bottled water,,,,,,
bottled water,salty snack,,,,,,,,,
berries,mayonnaise,,,,,,,,,
whole milk,margarine,,,,,,,,,
specialty chocolate,frozen vegetables,other vegetables,cream cheese ,,,,,,,
sausage,white wine,hygiene articles,,,,,,,,
rolls/buns,detergent,,,,,,,,,
soda,vinegar,napkins,,,,,,,,
bottled water,pastry,,,,,,,,,
pork,pip fruit,yogurt,salty snack,,,,,,,
canned beer,napkins,,,,,,,,,
brown bread,napkins,,,,,,,,,
whipped/sour cream,beverages,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
sausage,berries,,,,,,,,,
cooking chocolate,hygiene articles,,,,,,,,,
bottled water,frozen vegetables,,,,,,,,,
berries,brown bread,,,,,,,,,
pip fruit,beverages,,,,,,,,,
pot plants,baking powder,,,,,,,,,
other vegetables,frankfurter,other vegetables,newspapers,spread cheese,,,,,,
tropical fruit,dessert,,,,,,,,,
whole milk,other vegetables,pot plants,,,,,,,,
bottled beer,hamburger meat,,,,,,,,,
condensed milk,curd,,,,,,,,,
other vegetables,red/blush wine,,,,,,,,,
yogurt,spread cheese,soda,fruit/vegetable juice,,,,,,,
newspapers,cream cheese ,long life bakery product,,,,,,,,
pork,ice cream,yogurt,,,,,,,,
citrus fruit,pickled vegetables,,,,,,,,,
root vegetables,onions,,,,,,,,,
mayonnaise,hard cheese,brown bread,,,,,,,,
root vegetables,pet care,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
rolls/buns,processed cheese,,,,,,,,,
frankfurter,coffee,,,,,,,,,
frankfurter,other vegetables,specialty bar,,,,,,,,
citrus fruit,soda,,,,,,,,,
misc. beverages,whole milk,,,,,,,,,
rolls/buns,berries,,,,,,,,,
domestic eggs,other vegetables,,,,,,,,,
specialty bar,chicken,,,,,,,,,
herbs,citrus fruit,,,,,,,,,
beef,root vegetables,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
bottled water,softener,rolls/buns,,,,,,,,
root vegetables,turkey,bottled water,,,,,,,,
rice,dish cleaner,,,,,,,,,
UHT-milk,soft cheese,,,,,,,,,
sausage,sauces,,,,,,,,,
frozen meals,domestic eggs,domestic eggs,,,,,,,,
dessert,canned beer,specialty chocolate,,,,,,,,
frozen dessert,newspapers,,,,,,,,,
frozen vegetables,pot plants,domestic eggs,,,,,,,,
bottled water,soda,,,,,,,,,
rolls/buns,condensed milk,whole milk,soda,,,,,,,
canned beer,whole milk,,,,,,,,,
sausage,pot plants,,,,,,,,,
yogurt,oil,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
meat,curd,,,,,,,,,
root vegetables,hard cheese,pastry,,,,,,,,
soft cheese,soda,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
cat food,whole milk,,,,,,,,,
yogurt,whole milk,,,,,,,,,
chocolate,waffles,,,,,,,,,
pip fruit,salty snack,,,,,,,,,
frozen meals,detergent,,,,,,,,,
brown bread,butter milk,canned vegetables,soda,,,,,,,
salt,cream cheese ,,,,,,,,,
bottled beer,specialty bar,baking powder,,,,,,,,
semi-finished bread,ketchup,,,,,,,,,
soda,shopping bags,napkins,,,,,,,,
root vegetables,yogurt,,,,,,,,,
liquor,yogurt,napkins,,,,,,,,
turkey,kitchen towels,,,,,,,,,
root vegetables,margarine,,,,,,,,,
frankfurter,hamburger meat,,,,,,,,,
bottled water,ice cream,,,,,,,,,
hamburger meat,bottled beer,brown bread,yogurt,,,,,,,
hamburger meat,root vegetables,seasonal products,shopping bags,,,,,,,
other vegetables,processed cheese,,,,,,,,,
hamburger meat,yogurt,,,,,,,,,
whole milk,ice cream,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
whole milk,brown bread,,,,,,,,,
citrus fruit,pastry,,,,,,,,,
canned beer,shopping bags,,,,,,,,,
cat food,coffee,,,,,,,,,
canned fish,bottled water,rolls/buns,,,,,,,,
sausage,rolls/buns,,,,,,,,,
frankfurter,citrus fruit,yogurt,frozen vegetables,,,,,,,
pastry,cream cheese ,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
soda,sausage,whole milk,beverages,shopping bags,,,,,,
frankfurter,ice cream,mustard,soda,,,,,,,
rolls/buns,tropical fruit,seasonal products,fruit/vegetable juice,,,,,,,
UHT-milk,other vegetables,,,,,,,,,
whole milk,chewing gum,,,,,,,,,
onions,flour,,,,,,,,,
coffee,whole milk,,,,,,,,,
beverages,bottled water,,,,,,,,,
tropical fruit,butter,,,,,,,,,
sausage,yogurt,,,,,,,,,
rolls/buns,butter milk,,,,,,,,,
pastry,grapes,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
butter,brown bread,,,,,,,,,
beef,cat food,,,,,,,,,
pastry,domestic eggs,napkins,,,,,,,,
other vegetables,beverages,,,,,,,,,
bottled water,shopping bags,shopping bags,,,,,,,,
canned beer,rolls/buns,,,,,,,,,
yogurt,brown bread,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
canned beer,whole milk,onions,coffee,,,,,,,
sausage,tropical fruit,pork,rolls/buns,,,,,,,
chicken,chewing gum,,,,,,,,,
white bread,liquor (appetizer),shopping bags,,,,,,,,
long life bakery product,rolls/buns,,,,,,,,,
ham,other vegetables,,,,,,,,,
whole milk,margarine,,,,,,,,,
tropical fruit,snack products,,,,,,,,,
whipped/sour cream,yogurt,candy,,,,,,,,
pip fruit,vinegar,,,,,,,,,
chewing gum,hamburger meat,candy,coffee,,,,,,,
frankfurter,bottled water,,,,,,,,,
chicken,sausage,tropical fruit,brown bread,domestic eggs,cake bar,fruit/vegetable juice,canned beer,,,
sausage,butter,,,,,,,,,
other vegetables,bottled water,,,,,,,,,
sausage,whole milk,pastry,whole milk,,,,,,,
sausage,yogurt,,,,,,,,,
tropical fruit,curd,,,,,,,,,
sausage,citrus fruit,,,,,,,,,
pastry,napkins,,,,,,,,,
cling film/bags,napkins,,,,,,,,,
dog food,hygiene articles,Instant food products,,,,,,,,
citrus fruit,whole milk,beef,shopping bags,,,,,,,
chicken,pickled vegetables,,,,,,,,,
citrus fruit,pastry,,,,,,,,,
pip fruit,bottled beer,other vegetables,,,,,,,,
Instant food products,soda,,,,,,,,,
butter,cream,,,,,,,,,
coffee,other vegetables,candy,whole milk,,,,,,,
frankfurter,canned fish,beverages,,,,,,,,
sausage,chocolate,semi-finished bread,whole milk,rum,bottled beer,,,,,
photo/film,bottled water,,,,,,,,,
sweet spreads,berries,butter milk,pip fruit,soda,other vegetables,fruit/vegetable juice,whole milk,,,
beef,coffee,,,,,,,,,
yogurt,butter,whole milk,,,,,,,,
pork,yogurt,butter milk,,,,,,,,
rolls/buns,newspapers,specialty fat,domestic eggs,,,,,,,
sausage,long life bakery product,,,,,,,,,
canned beer,flower soil/fertilizer,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
root vegetables,fruit/vegetable juice,berries,newspapers,chewing gum,,,,,,
chicken,UHT-milk,,,,,,,,,
tropical fruit,cream cheese ,cream cheese ,,,,,,,,
fruit/vegetable juice,other vegetables,,,,,,,,,
liver loaf,other vegetables,,,,,,,,,
specialty chocolate,brown bread,,,,,,,,,
dessert,long life bakery product,berries,sausage,grapes,frozen meals,candy,soda,,,
brown bread,whole milk,,,,,,,,,
UHT-milk,UHT-milk,,,,,,,,,
rolls/buns,tropical fruit,,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
pip fruit,fruit/vegetable juice,,,,,,,,,
whole milk,beef,,,,,,,,,
butter milk,chocolate,berries,sweet spreads,butter,long life bakery product,napkins,white bread,,,
berries,other vegetables,,,,,,,,,
shopping bags,sparkling wine,,,,,,,,,
specialty bar,misc. beverages,,,,,,,,,
sausage,white wine,,,,,,,,,
butter,whole milk,,,,,,,,,
seasonal products,pickled vegetables,,,,,,,,,
